Export of Imageset multipleballs (ball annotations in bounding boxes)
[team|labvision1819/multipleballs]
[set|multipleballs]
[format: "label::annotation_type|filename|img_width|img_height|x1|y1|x2|y2|center_x|center_y|width|height"]


label::ball|frame0362.jpg|640|480|142|340|185|386|163.5|363.0|43|46
label::ball|frame0362.jpg|640|480|170|286|212|322|191.0|304.0|42|36
label::ball|frame0361.jpg|640|480|117|290|153|329|135.0|309.5|36|39
label::ball|frame0361.jpg|640|480|166|323|209|367|187.5|345.0|43|44
label::ball|frame0360.jpg|640|480|116|295|153|329|134.5|312.0|37|34
label::ball|frame0360.jpg|640|480|197|303|235|348|216.0|325.5|38|45
label::ball|frame0359.jpg|640|480|121|297|151|329|136.0|313.0|30|32
label::ball|frame0359.jpg|640|480|221|290|253|323|237.0|306.5|32|33
label::ball|frame0358.jpg|640|480|120|296|153|332|136.5|314.0|33|36
label::ball|frame0358.jpg|640|480|241|278|273|312|257.0|295.0|32|34
label::ball|frame0357.jpg|640|480|121|295|155|327|138.0|311.0|34|32
label::ball|frame0357.jpg|640|480|262|262|297|296|279.5|279.0|35|34
label::ball|frame0356.jpg|640|480|118|293|155|328|136.5|310.5|37|35
label::ball|frame0356.jpg|640|480|279|260|315|297|297.0|278.5|36|37
label::ball|frame0355.jpg|640|480|116|291|155|327|135.5|309.0|39|36
label::ball|frame0355.jpg|640|480|297|256|336|296|316.5|276.0|39|40
label::ball|frame0354.jpg|640|480|332|267|365|300|348.5|283.5|33|33
label::ball|frame0354.jpg|640|480|116|296|151|327|133.5|311.5|35|31
label::ball|frame0353.jpg|640|480|105|299|144|334|124.5|316.5|39|35
label::ball|frame0353.jpg|640|480|339|245|373|279|356.0|262.0|34|34
label::ball|frame0352.jpg|640|480|98|309|132|344|115.0|326.5|34|35
label::ball|frame0352.jpg|640|480|334|264|371|302|352.5|283.0|37|38
label::ball|frame0351.jpg|640|480|99|299|134|338|116.5|318.5|35|39
label::ball|frame0351.jpg|640|480|314|275|348|310|331.0|292.5|34|35
label::ball|frame0350.jpg|640|480|101|297|131|329|116.0|313.0|30|32
label::ball|frame0350.jpg|640|480|310|278|344|308|327.0|293.0|34|30
label::ball|frame0349.jpg|640|480|103|289|132|320|117.5|304.5|29|31
label::ball|frame0349.jpg|640|480|329|269|369|303|349.0|286.0|40|34
label::ball|frame0348.jpg|640|480|103|281|131|312|117.0|296.5|28|31
label::ball|frame0348.jpg|640|480|350|264|384|297|367.0|280.5|34|33
label::ball|frame0347.jpg|640|480|111|276|142|304|126.5|290.0|31|28
label::ball|frame0347.jpg|640|480|373|255|407|290|390.0|272.5|34|35
label::ball|frame0346.jpg|640|480|372|257|404|290|388.0|273.5|32|33
label::ball|frame0346.jpg|640|480|124|276|164|310|144.0|293.0|40|34
label::ball|frame0345.jpg|640|480|146|277|185|310|165.5|293.5|39|33
label::ball|frame0345.jpg|640|480|370|255|398|288|384.0|271.5|28|33
label::ball|frame0344.jpg|640|480|176|277|212|312|194.0|294.5|36|35
label::ball|frame0344.jpg|640|480|360|254|392|287|376.0|270.5|32|33
label::ball|frame0343.jpg|640|480|205|277|242|309|223.5|293.0|37|32
